srcipinternal,dstipinternal,srcipver,dstipver,date,time,action,protocol,srcip,dstip,srcport,dstport,size,tcpflags,tcpsyn,tcpack,tcpwin,icmptype,icmpcode,info,path
1,1,ipv4,ipv4,2022-01-29,21:23:27,ALLOW,TCP,10.102.30.5,192.168.1.30,50467,80,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:23:27,ALLOW,TCP,10.102.30.5,192.168.1.30,50468,80,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:23:27,ALLOW,TCP,10.102.30.5,192.168.1.30,50469,80,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:23:32,ALLOW,UDP,192.168.56.1,239.255.255.250,51363,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:23:32,ALLOW,UDP,192.168.192.1,239.255.255.250,51364,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:23:32,ALLOW,UDP,192.168.245.1,239.255.255.250,51365,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:23:32,ALLOW,UDP,10.102.30.5,239.255.255.250,51366,1900,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:23:41,ALLOW,UDP,192.168.245.1,192.168.245.255,138,138,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:23:41,ALLOW,UDP,192.168.192.1,192.168.192.255,138,138,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:23:41,ALLOW,UDP,192.168.192.1,192.168.192.255,138,138,0,0,0,0,0,0,0,0,RECEIVE
1,1,ipv4,ipv4,2022-01-29,21:23:41,ALLOW,UDP,10.102.30.5,10.102.30.255,138,138,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:23:41,ALLOW,UDP,192.168.56.1,192.168.56.255,138,138,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:23:41,ALLOW,UDP,192.168.56.1,192.168.56.255,138,138,0,0,0,0,0,0,0,0,RECEIVE
1,1,ipv4,ipv4,2022-01-29,21:23:43,ALLOW,UDP,10.102.30.5,192.168.1.1,63885,53,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:23:44,ALLOW,TCP,10.102.30.5,20.72.78.248,50470,443,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:23:45,ALLOW,UDP,10.102.30.5,192.168.1.1,64388,53,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:23:45,ALLOW,TCP,10.102.30.5,52.183.220.149,50471,443,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:23:45,ALLOW,TCP,10.102.30.5,52.183.220.149,50472,443,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:23:47,ALLOW,TCP,10.102.30.5,52.183.220.149,50473,443,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:23:47,ALLOW,UDP,192.168.56.1,255.255.255.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:23:47,ALLOW,UDP,192.168.192.1,192.168.192.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:23:47,ALLOW,UDP,192.168.245.1,192.168.245.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:23:47,ALLOW,UDP,10.102.30.5,10.102.30.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:23:47,ALLOW,TCP,10.102.30.5,20.72.78.248,50474,443,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:23:47,ALLOW,UDP,10.102.30.5,192.168.1.1,60290,53,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:23:47,ALLOW,TCP,10.102.30.5,23.61.182.249,50475,443,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:24:08,ALLOW,UDP,10.102.30.5,192.168.1.1,62882,53,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:24:08,ALLOW,TCP,10.102.30.5,52.153.255.222,50476,443,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:24:08,ALLOW,TCP,10.102.30.5,52.153.255.222,50477,443,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:24:36,ALLOW,UDP,192.168.56.1,239.255.255.250,62883,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:24:36,ALLOW,UDP,192.168.192.1,239.255.255.250,62884,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:24:36,ALLOW,UDP,192.168.245.1,239.255.255.250,62885,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:24:36,ALLOW,UDP,10.102.30.5,239.255.255.250,62886,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:24:47,ALLOW,UDP,192.168.56.1,255.255.255.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:24:47,ALLOW,UDP,192.168.192.1,192.168.192.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:24:47,ALLOW,UDP,192.168.245.1,192.168.245.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:24:47,ALLOW,UDP,10.102.30.5,10.102.30.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:24:57,ALLOW,UDP,10.102.30.5,192.168.1.1,65309,53,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:24:57,ALLOW,TCP,10.102.30.5,162.125.19.9,50478,443,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:24:59,ALLOW,UDP,10.102.30.5,192.168.1.1,65204,53,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:25:00,ALLOW,UDP,10.102.30.5,192.168.1.1,62994,53,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:25:00,ALLOW,TCP,10.102.30.5,142.250.191.110,50479,443,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:25:22,ALLOW,UDP,10.102.30.5,192.168.1.1,62228,53,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:25:22,ALLOW,UDP,10.102.30.5,192.168.1.1,51190,53,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:25:22,ALLOW,UDP,10.102.30.5,192.168.1.1,63687,53,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:25:32,ALLOW,UDP,192.168.56.1,239.255.255.250,63688,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:25:32,ALLOW,UDP,192.168.192.1,239.255.255.250,63689,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:25:32,ALLOW,UDP,192.168.245.1,239.255.255.250,63690,1900,0,0,0,0,0,0,0,0,SEND
